Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
2022-07-17,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.08524663827180276,2421.52
2022-08-01,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.07049522770435404,1126.73
2023-03-15,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.13443883688865882,5172.4
2023-04-29,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.11453592158660743,3818.63
2022-09-04,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.09219072181202051,3866.2
2022-06-16,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.11348979252839732,2298.85
2022-12-18,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.0772469351075994,1140.86
2022-06-12,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.14278012046202349,5910.67
2022-06-20,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.07162375791822201,3311.38
2022-09-02,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.09950365066681469,2720.13
2023-04-06,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.14992578196198048,2445.14
2023-03-12,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.09254115962373276,3818.16
2023-01-29,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.09059214611261575,4368.72
2022-05-29,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.12234885229472708,4454.6
2022-08-12,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.11232629380252482,3328.0
2023-04-06,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.10387489462717983,1071.26
2022-12-21,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.05525097833560843,2022.57
2022-08-12,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.052007774519202736,2075.94
2022-08-23,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.08618532374694807,1592.88
2022-10-18,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.12722779579444637,2182.97
2023-03-09,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.09345120934038341,2691.02
2022-09-28,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.08478088211948107,2045.59
2022-12-20,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.12828810888621467,4733.19
2022-07-26,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.14423733102284325,2422.75
2022-07-18,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.13699119341719007,4134.94
2022-12-19,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.0844044075014132,3510.13
2023-02-15,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.06339966432970515,2236.68
2022-06-23,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.1229233255755757,4118.18
2022-07-14,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.10017036341635777,3034.76
2022-07-17,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.08524663827180276,2421.52
2022-12-11,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.14507344059455757,3006.65
2022-07-18,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.06898075553251723,1609.32
2022-05-13,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.1286909795352531,5304.13
2022-09-05,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.09922014064762105,4285.12
2022-12-30,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381650735357215,804.14
2022-07-02,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.0983359271158715,3541.96
2023-02-04,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.14162204065002712,3292.57
2022-10-08,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.056340279361091795,2156.59
2023-01-24,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119031565194,3046.6
2023-04-15,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.08089572566794434,2979.71
2022-08-10,Nicole Williams,Richard Wolf,Ford,Civic,2012,31941,0.10285483802960502,3285.29
2022-05-25,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.06269286368480731,1128.28
2023-02-15,Betty Young,Lynn Villarreal,Honda,Corolla,2015,44250,0.115044400724805,5090.71
2023-04-18,Chad Davis,Jesse Dunn,Nissan,Corolla,2013,13194,0.11862126131211372,1565.09
2022-11-14,Lauren Hernandez,Amanda Combs,Ford,Civic,2012,29108,0.12297662818232843,3579.6
2022-05-24,David Diaz,Amy Sanchez,Chevrolet,F-150,2013,26168,0.13626166335406598,3565.7
2023-03-23,Brian Moran,Matthew Peterson,Chevrolet,Civic,2013,14864,0.07774427451260825,1155.59
2022-09-03,Amanda Butler,Sabrina Williams,Toyota,Corolla,2012,28564,0.061851656927740986,1766.73
2022-07-02,Jacob Bishop,Marc Caldwell,Nissan,Corolla,2021,21224,0.09301422746853835,1974.13
2022-12-16,Michael Walton,Edgar Smith,Nissan,Corolla,2011,29018,0.1459687168071691,4235.72
2023-03-13,John Newton,Carrie Hudson,Toyota,F-150,2016,45367,0.08173407162862287,3708.03
2022-08-17,Kristen Martinez,Colleen Fischer,Chevrolet,Altima,2021,17832,0.05185287642136756,924.64
2023-01-03,Kimberly Maldonado,Kristine Hernandez,Ford,Civic,2014,39908,0.10898507274892891,4349.38
2022-11-30,Tara Hubbard,Virginia Joyce,Toyota,Corolla,2016,14609,0.09140936200505129,1335.4
2023-04-13,Valerie Sanchez,Carlos Fields,Nissan,Altima,2022,13508,0.14675635324651334,1982.38
2022-12-24,Kevin Mitchell,Christie Odonnell,Chevrolet,F-150,2022,13280,0.12288597679712084,1631.93
2023-02-11,David Gomez,Linda Conrad,Nissan,Altima,2019,46164,0.14467380440506145,6678.72
2022-08-10,Rebecca Pearson,Randall Thompson,Ford,F-150,2013,14744,0.08509262211358999,1254.61
2022-05-20,Jessica Flores,Carol Turner,Ford,Civic,2014,27999,0.09029833953436377,2528.26
2022-07-19,Joseph Patterson,James Velazquez,Honda,Corolla,2010,24327,0.0954573320827725,2322.19
2023-01-20,Carrie Gordon,Joseph Marquez,Honda,Silverado,2015,35989,0.1055199958500214,3797.56
2023-04-19,Christina Avery,Courtney Miller,Nissan,Silverado,2017,21618,0.14533794532406039,3141.92
2022-10-07,Monique Green,Audrey Perry,Toyota,Corolla,2022,26862,0.09513500951332565,2555.52
2022-11-18,Tom Hunt,Tammy Wood,Chevrolet,F-150,2010,36750,0.10244553172280982,3764.87
2023-02-01,Walter Robinson,Jeffrey Gillespie,Honda,Civic,2020,19526,0.12831471764527544,2505.47
2023-01-24,Robert Gordon,Jennifer Cohen,Chevrolet,F-150,2019,26875,0.11565469808226461,3108.22
2022-06-04,Michelle Moore,Sharon Brooks,Ford,Civic,2019,10371,0.10499094249399775,1088.86
2023-01-06,Lindsey Knight,Haley Sanders,Nissan,Altima,2019,13649,0.12333166269067768,1683.35
2022-10-04,Christopher Taylor,Denise Carter,Chevrolet,F-150,2017,29518,0.07262422835423589,2143.72
2023-01-03,Kathy Evans,Claudia Ali,Toyota,Altima,2022,43019,0.14654085206625067,6304.04
2022-11-16,Katherine Harris,Lori Byrd,Ford,Altima,2022,33493,0.14689811538600167,4920.06
2023-04-03,Laura Huff,Michael Lewis,Chevrolet,Altima,2017,26262,0.12323201531206525,3236.32
2022-08-25,Charles Cruz,Debra Hudson,Toyota,Altima,2015,18282,0.14818071183380893,2709.04
2023-04-12,Hayley Day,Anthony Glover,Honda,F-150,2015,48916,0.09983357572991322,4883.46
2023-04-01,Hunter King,Toni Acosta,Toyota,Civic,2016,48163,0.131807446935917,6348.24
2022-08-08,Kimberly Rasmussen,Brian Lamb,Nissan,Civic,2016,45824,0.10582311704172301,4849.24
2023-02-19,Shawn Mullen,Jeremy Jones,Nissan,Civic,2018,16314,0.14934352627331066,2436.39
2022-05-10,Matthew Campos,Brandon Kim,Chevrolet,Silverado,2016,19018,0.06787955844233456,1290.93
2022-05-14,Tyler Freeman,Shannon Sutton,Honda,Altima,2021,27067,0.10467318819789254,2833.19
2022-10-16,Matthew Ortiz,Mr. Kyle Patrick MD,Honda,Civic,2022,31238,0.09855528087666002,3078.67
2023-02-01,Anna Johnson,Damon Baker,Chevrolet,Civic,2012,28865,0.12431359608419824,3588.31
2023-02-23,Carl Miller,Amy Burns,Honda,Corolla,2012,25187,0.083280409735049,2097.58
2022-09-08,Ashley English,Adrian Miller,Chevrolet,Corolla,2022,45561,0.11625434168539232,5296.66
2022-06-09,Mark Mayo,Jesse Walker,Chevrolet,F-150,2014,15751,0.10211074230585673,1608.35
2022-06-01,Becky Stafford,Seth Horne,Nissan,Silverado,2016,24664,0.12472433714896974,3076.2
2022-05-24,Shaun Johnson,Zachary Freeman,Toyota,Civic,2012,46092,0.07942432545831299,3660.83
2022-09-23,Deanna Rodriguez,Christopher Cruz,Toyota,Corolla,2014,32968,0.11871407752582129,3913.77
2022-06-13,Jennifer Wallace,Michael Smith,Ford,Corolla,2011,13261,0.12444240491185972,1650.23
2023-02-14,Matthew Walker,Mary Perry,Chevrolet,Corolla,2019,45162,0.13370682165808478,6038.47
2023-03-16,Kenneth Fields,Audrey Gomez,Honda,Civic,2018,28160,0.09225383715876645,2597.87
2023-04-04,Deborah Whitney,Sarah Watkins,Ford,Civic,2013,45334,0.13688274205374834,6205.44
2022-09-21,David Wood,Brent Mays,Toyota,Altima,2013,24034,0.09131306939622194,2194.62
2022-06-23,Christopher Oneill,Phillip Cox,Toyota,Altima,2022,18209,0.0972775999104008,1771.33
2022-06-04,William Daniel,Jamie Smith,Honda,Corolla,2015,23255,0.05474491524193678,1273.09
2022-12-02,Stephen Ward,Chase Oneill,Ford,Corolla,2022,17038,0.08152036870613488,1388.94
2023-01-23,Donald Guerra,John Goodwin,Ford,Altima,2020,25964,0.09821864469152523,2550.15
2023-03-13,Alyssa Boyd,James Turner,Nissan,F-150,2016,10872,0.1095469040717344,1190.99
2022-12-31,Ryan Barnes,Mary Wong,Toyota,Silverado,2018,17650,0.10574036319317684,1866.32
2022-12-29,Megan Kaiser,Christopher Alexander,Ford,Civic,2013,25256,0.05562088160697812,1404.76
2023-04-16,Michael Jordan,Thomas Blankenship,Chevrolet,Altima,2014,31462,0.10395102112011992,3270.51
2022-10-16,Nicole Gonzales,Leslie Shepherd,Ford,Civic,2020,12512,0.11158666351800814,1396.17
2022-10-18,Wendy Lopez,Peter Cole,Toyota,Altima,2012,34884,0.06647519750968911,2318.92
2022-05-14,Michael Rogers,Ronald Sullivan,Toyota,Altima,2020,18818,0.05500617677506922,1035.11
2022-10-06,Tina Lynch,Erika Davis,Ford,F-150,2022,28645,0.10248165776111366,2935.59
2023-01-27,Kimberly Hall,Catherine Ortega,Nissan,Silverado,2011,35883,0.1419688142701584,5094.27
2023-04-05,Kayla Perez,Adrian Parker,Ford,Silverado,2014,44008,0.08544603481270287,3760.31
2022-12-09,Sandra Taylor,Kelly Tran,Ford,Civic,2012,30782,0.05449615310518357,1677.5
2022-10-10,Thomas Dixon,Dawn Bell,Ford,Silverado,2014,20145,0.10166231038237342,2047.99
2022-10-26,Tony Stone,Brianna Henderson,Nissan,Altima,2019,11849,0.11726352827673756,1389.46
2022-12-24,Nicholas Rodriguez,Eric Edwards,Ford,F-150,2011,45422,0.14305118876692186,6497.67
2023-03-21,Dennis Davis,Frances Castillo,Honda,Corolla,2016,17047,0.12645691523807076,2155.71
2022-11-20,William Brock,Mike Harris,Ford,Corolla,2021,22547,0.12714505358759784,2866.74
2022-07-18,Tanya Joyce,Madeline Mosley,Ford,Civic,2021,45789,0.12491718913318568,5719.83
2023-03-14,Michael Lewis,Joshua Brown,Honda,F-150,2012,23467,0.14547217843556443,3413.8
2022-08-17,Amanda Robinson,Jason Hernandez,Toyota,F-150,2010,18895,0.061012213549905984,1152.83
2023-02-21,Gabrielle Fields,Richard Warner,Ford,F-150,2016,36774,0.14716016926255265,5411.67
2022-05-29,Michael Chavez,Eric Durham,Nissan,F-150,2020,22348,0.07780478467864195,1738.78
2022-07-05,Dr. Nicole Lopez,Dustin Taylor,Chevrolet,Civic,2016,45924,0.07638384385206119,3507.85
2022-07-17,Miguel Waters,Katherine Henry,Nissan,Silverado,2010,13970,0.08373696820896996,1169.81
2022-12-14,Gina Boyer,Elizabeth Jimenez,Chevrolet,Silverado,2013,31606,0.11764995909791198,3718.44
2022-08-11,Lindsey Baker,Carl Maldonado,Ford,Corolla,2021,39594,0.09984961191841539,3953.45
2023-05-01,Jennifer Odonnell,Holly Jones,Nissan,F-150,2022,42275,0.12568085218588743,5313.16
2023-01-06,Brenda Reyes,Joseph Sutton,Toyota,Corolla,2016,23193,0.12021011669547427,2788.03
2023-04-27,Brenda Gardner,Anna Owen,Honda,Altima,2017,29381,0.12183789427647544,3579.72
2022-10-19,Karen Dennis,Karen Rogers,Chevrolet,F-150,2010,25731,0.0881393498946216,2267.91
2022-06-27,Natalie Rivera,Lisa Harding,Ford,F-150,2015,25131,0.1360029490844441,3417.89
2022-05-12,Donald Higgins,Sarah Martin,Nissan,Civic,2012,39840,0.11343863911705711,4519.4
2022-08-08,Bernard Barnes,Blake Barrera,Ford,Civic,2016,24820,0.10405671897730498,2582.69
2022-06-28,Christian Gay,Jesse Miller,Toyota,Civic,2019,47484,0.11414580329461264,5420.1
2022-07-16,Tyler Wolfe,Nicholas Thomas,Nissan,F-150,2022,26704,0.13192153174035182,3522.83
2022-05-28,Linda Richard,Lisa Robinson,Chevrolet,Altima,2012,19875,0.10334933878140727,2054.07
2022-12-11,Kathryn Le,Jennifer Williams,Ford,Altima,2019,41513,0.05081388037385559,2109.44
2023-04-01,Debbie Powers,Kenneth Hernandez,Ford,Corolla,2014,33780,0.11154518356044474,3768.0
2023-04-07,Kelly Ho,Alejandra Olson,Toyota,Altima,2014,15008,0.05618324075689382,843.2
2023-04-15,Desiree Hill,Mary Nielsen,Ford,Corolla,2021,13143,0.14093300291703803,1852.28
2023-04-19,Richard Williams,Cody Benton,Toyota,Civic,2018,26323,0.09552040987322605,2514.38
2022-09-27,Yolanda Jones,Christopher Morris,Nissan,Civic,2015,39057,0.10920551504008302,4265.24
2022-09-26,Meagan Shaw,Rebecca Boone,Ford,Altima,2012,11738,0.08970486635160704,1052.96
2023-01-24,Joseph Smith,Gary Rowland,Honda,Silverado,2020,48705,0.14558480608727853,7090.71
2022-05-21,Isabella Barrett,Kathleen Stone,Chevrolet,Civic,2012,20812,0.10751448399365748,2237.59
2022-05-12,Mr. Joshua Johnson,Patricia Serrano,Toyota,Silverado,2016,44286,0.09296158887536046,4116.9
2022-08-09,Levi Cox,Daniel Carpenter,Toyota,Civic,2014,22149,0.06374656621479789,1411.92
2022-08-14,Diane Anderson,David Peck,Chevrolet,Civic,2013,47797,0.11852310604228088,5665.05
2023-03-13,Cheyenne Sampson,Robert Shaw,Ford,Silverado,2012,32458,0.12279628950667508,3985.72
2023-01-12,Phillip Dougherty,William Weber,Nissan,Altima,2020,45815,0.056991190892882564,2611.05
2022-10-07,Jared Taylor,Benjamin Wilson,Chevrolet,Corolla,2020,18832,0.14885093431353763,2803.16
2022-08-22,Heather Romero,Mark Olson,Ford,F-150,2017,34044,0.07720334499699774,2628.31
2022-07-11,Daniel Richmond,Tiffany Arnold,Ford,Corolla,2013,14767,0.10428729000649964,1540.01
2022-07-31,William Taylor,Meredith Gomez,Honda,F-150,2012,49209,0.10207892060054619,5023.2
2022-12-31,Matthew Brown,Christina Holmes,Honda,Silverado,2021,12075,0.1464713172076563,1768.64
2022-07-18,Ryan Waters,Diana Brown,Nissan,Altima,2017,32176,0.08323419153491496,2678.14
2022-09-21,Steven Sexton,Eric Tucker,Honda,F-150,2011,21038,0.08681316522369002,1826.38
2022-06-08,Michael Olson,Krista Walters,Chevrolet,F-150,2016,22274,0.11218264843800871,2498.76
2022-07-17,Darryl Hernandez,Gregory Phillips Jr.,Chevrolet,Silverado,2020,36523,0.14707507228377825,5371.62
2022-05-02,Linda White,Pamela Sullivan,Ford,Altima,2018,48314,0.14680971823845218,7092.96
2022-10-12,Samantha Graham MD,Angela Dudley,Honda,Altima,2012,29868,0.14301544047593556,4271.59
2022-05-17,Caroline Howell,Rachel Dillon,Toyota,Civic,2020,48964,0.07435727964032328,3640.83
2022-06-07,Paula Williams,Crystal Davis,Nissan,Silverado,2012,40470,0.13005301568173216,5263.25
2022-08-13,Blake Garcia,Joseph James,Honda,F-150,2019,47642,0.11769915205946359,5607.42
2023-04-28,James Klein,Cameron James,Honda,F-150,2022,17640,0.13083223378904502,2307.88
2022-07-25,Matthew Rollins,Heather Heath,Chevrolet,Silverado,2018,34309,0.110358400060907,3786.29
2022-08-21,Matthew Johnson,James Perkins,Ford,Silverado,2021,34050,0.12187899738514213,4149.98
2023-03-31,Michael Pierce,Leslie Kim,Ford,Civic,2013,19851,0.077311843942004,1534.72
2022-10-14,Crystal Williams,Henry King,Honda,Corolla,2014,33518,0.1047961312769568,3512.56
2022-06-06,Amanda Hernandez,Jacqueline Ortiz,Ford,Civic,2022,15157,0.12192763940758194,1848.06
2022-06-25,Mr. Frank Wiggins,Joseph Pierce,Ford,F-150,2014,17214,0.1048348137938406,1804.63
2022-05-12,Joseph Lewis,Caroline Cooley,Toyota,Altima,2019,20231,0.05230144375737259,1058.11
2022-06-23,Miss Angela Evans,Kathy Shelton,Ford,F-150,2015,22516,0.0745304607898904,1678.13
2022-06-28,Thomas Bass,Douglas Roach,Nissan,Corolla,2021,48317,0.1375444822429454,6645.74
2022-05-30,Debra Wright,Kristin Hall,Chevrolet,Corolla,2011,27734,0.14314017919102834,3969.85
2022-09-15,Nicholas Francis,Kevin Williams,Ford,Corolla,2010,32473,0.06260661806495801,2033.02
2022-08-17,Christina Jones,Shaun Brown,Toyota,F-150,2013,25708,0.10590625582127283,2722.64
2022-07-07,Frederick Hudson,Mariah Lee,Ford,Silverado,2016,39844,0.06663907806132119,2655.17
2022-05-03,Craig Booth,Jason Davis,Ford,Corolla,2020,34365,0.07610736785436159,2615.43
2022-09-26,Mr. Shawn Scott MD,Mrs. Michele Edwards,Nissan,F-150,2010,41626,0.11869163774114358,4940.66
2022-09-02,Michael Wright,Michael Moore,Chevrolet,Altima,2012,37275,0.06328380333150233,2358.9
2022-12-18,Lauren Miller,William Wilkerson,Ford,Altima,2018,15427,0.08078340737946389,1246.25
2022-05-28,Nicholas Lyons,Sara King,Honda,Silverado,2018,22897,0.07882447817500035,1804.84
2023-03-27,Kimberly Allen,George Sanchez,Ford,Altima,2021,33210,0.08196077300024338,2721.92
2022-12-24,Miss Carla Jones,Nicole Vargas,Honda,F-150,2015,38133,0.09919770216194518,3782.71
2022-09-12,Keith Bell,Kevin Nguyen,Honda,F-150,2014,49261,0.10523888451754437,5184.17
2022-09-05,Ashley Spencer,Christina Roberts,Ford,Altima,2016,13572,0.06906280636316628,937.32
2023-01-22,Edward Christian,Tammy Cain,Ford,Civic,2019,20795,0.12103679421366932,2516.96
2022-09-28,Gordon Rhodes,Jessica Washington,Ford,Corolla,2018,32490,0.07021794067284451,2281.38
2023-02-19,Stefanie Jones,Jesse Snow,Toyota,F-150,2016,16150,0.10805675249746374,1745.12
2022-10-22,Cynthia Brown,Antonio Estrada,Ford,Silverado,2011,27218,0.053590363360696475,1458.62
2022-08-06,Jessica Jackson,Jonathan Chaney,Honda,F-150,2021,28765,0.06420307633323721,1846.8
2023-02-04,Oscar Atkins,Johnathan Ramos,Chevrolet,F-150,2020,48884,0.06309507681551939,3084.34
2023-01-24,Duane Garcia,Andrew Hudson,Nissan,Corolla,2020,42405,0.09731710799800358,4126.73
2023-04-25,Howard Morris,Jeremy Spence,Toyota,Silverado,2017,39713,0.075985647853245,3017.62
2022-05-12,Michelle White,Jesse Wilson,Ford,Altima,2016,29570,0.1466141848221486,4335.38
2023-02-04,James Higgins,Casey Stone,Chevrolet,Silverado,2011,39825,0.09773431808948033,3892.27
2022-08-08,Tina Zamora,Anna Diaz,Chevrolet,Silverado,2016,27785,0.1399694035022674,3889.05
2022-10-30,Carol Harmon,Chad Brown,Honda,Silverado,2022,39291,0.08776657988003066,3448.44
2022-12-05,Anna Ryan,William Lynn,Nissan,Civic,2020,45878,0.11767895343737451,5398.88
2022-06-17,James Hall,Benjamin Robertson,Toyota,F-150,2015,26838,0.05858098792093175,1572.2
2022-09-29,Daniel English,Brandon Turner,Chevrolet,Altima,2011,46924,0.1110666875942786,5211.69
2023-03-21,Tracey Williams,Michael Whitaker,Ford,Corolla,2020,47651,0.0543271313982482,2588.74
2022-09-22,Joseph Delacruz,Cynthia Jones,Nissan,Corolla,2013,14458,0.11530991820341886,1667.15
2022-12-27,John Miles,Kyle Stanley,Chevrolet,Corolla,2017,30993,0.1478620092351775,4582.69
2022-09-19,Christina Berry,Dennis Camacho,Chevrolet,F-150,2014,15844,0.0660352324499731,1046.26
2022-07-17,Joseph Reed,Jordan Bell,Toyota,Silverado,2014,36828,0.13139855516264806,4839.15
2022-08-06,Kari Salas,Stephanie Carter,Toyota,Altima,2022,30713,0.11322541606714344,3477.49
2022-09-09,Steve Thompson,Christopher Perry,Chevrolet,F-150,2015,44518,0.13053149652093804,5811.0
2023-03-26,Donald Willis,Tracy Vaughn,Toyota,Corolla,2011,43592,0.09928746925516088,4328.14
2023-01-18,Gregory Chapman,Stephanie Jones,Honda,Altima,2010,19474,0.11469595352246349,2233.59
2022-07-02,William Palmer,Karen Roth,Ford,F-150,2013,41322,0.0639779207811946,2643.7
2022-11-16,Jacob Williams,Aaron Medina,Toyota,Civic,2014,23582,0.1470957680180211,3468.81
2023-01-06,Austin Garcia,Mckenzie Zavala,Ford,Silverado,2020,22648,0.06399544377960156,1449.37
2022-05-11,Karen Smith,Katherine Henderson,Honda,Altima,2010,37699,0.10663835593496263,4020.16
2023-02-03,Michael Pitts,Julie Jones,Nissan,Altima,2014,33157,0.13333138319587418,4420.87
2022-05-30,Stacie Johnson,Erin King,Nissan,Corolla,2021,28204,0.10501894455435551,2961.95
2022-06-18,Erika Simpson,Loretta Diaz,Nissan,Altima,2022,42530,0.08290765688343028,3526.06
2022-07-19,Bonnie Moore,Dustin Lopez,Nissan,F-150,2021,23810,0.11701596429874951,2786.15
2022-07-01,Brent Todd,Curtis Leonard,Honda,Civic,2016,42672,0.12313788687913849,5254.54
2023-01-05,Julian Jimenez,Natalie Larson,Honda,Civic,2021,18067,0.1339747299063988,2420.52
2022-06-08,Joshua Hess,Matthew Guzman,Chevrolet,Corolla,2013,29710,0.08633145430673395,2564.91
2022-09-23,Robert Smith,Grant Lane,Honda,Altima,2013,30154,0.09149441916146353,2758.92
2022-11-13,Christopher Carter,Jessica Wilson,Toyota,Corolla,2013,34377,0.07892014676711438,2713.04
2022-06-19,Suzanne Rocha,Raymond Hinton,Honda,Altima,2018,13827,0.06268181153459453,866.7
2022-12-02,Jessica Castaneda,Rebecca Rasmussen,Nissan,Civic,2018,21151,0.07183300436118645,1519.34
2022-05-26,Jessica Conrad,Angela Santos,Nissan,Silverado,2012,12403,0.08367788210234173,1037.86
2023-04-19,Teresa Nelson,Jessica Collins MD,Ford,Corolla,2020,39479,0.10336238785056276,4080.64
2023-01-11,Scott Wilson,Shane Wilson,Chevrolet,Corolla,2020,42351,0.05967081745814017,2527.12
2022-09-17,Chad Robinson,Zachary Reese,Toyota,Silverado,2011,13112,0.09226467902834151,1209.77
2022-08-07,Tim Herrera,Natalie Robertson,Honda,Corolla,2017,11248,0.14757543570216383,1659.93
2022-12-30,Crystal Small,Steven Liu,Chevrolet,Altima,2016,35191,0.09690023522556249,3410.02
2022-08-02,Robert Adams,Samuel Wolfe,Chevrolet,Altima,2018,43594,0.05708469834817449,2488.55
2023-02-26,Kimberly Jackson,Christopher Mason,Ford,Altima,2015,36964,0.14739504586391938,5448.31
2022-11-12,Arthur Smith,Matthew Larson,Nissan,Altima,2018,41141,0.1313147167865002,5402.42
2023-04-19,Kyle Chandler,Kelly Miller,Nissan,Civic,2015,16875,0.1349279856800767,2276.91
2022-06-20,Andrea Morris,Tiffany Stewart,Ford,Civic,2016,34503,0.10922969529243784,3768.75
